Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Uangel,A2807,56,1300,GF7035,40.00%,6,24.74,9.91,817,3.3,245,13409,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,50.00%,6,24.65,13.28,1012,3.1,327,14819,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,60.00%,6,24.54,16.89,1202,2.9,415,16149,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,70.00%,6,24.42,21.1,1410,2.7,515,17359,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,80.00%,6,24.25,27.09,1680,2.6,657,19035,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,90.00%,6,24.05,34.22,1942,2.4,823,20426,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF7035,100.00%,6,23.94,37.91,2036,2.2,908,20874,5,7,28,7,7,3.5,38.48,4310.27,112
Uangel,A2807,56,1300,GF8040,40.00%,6,24.74,9.41,780,3.3,233,14081,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,50.00%,6,24.65,12.7,974,3.1,313,15467,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,60.00%,6,24.55,16.16,1141,2.9,397,16663,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,70.00%,6,24.44,20,1346,2.8,489,17818,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,80.00%,6,24.25,26.36,1626,2.5,639,19326,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,90.00%,6,24.04,33.79,1908,2.3,812,20673,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF8040,100.00%,6,23.91,37.46,1996,2.2,896,21083,5,7,28,7,8,4,50.27,4310.27,85.75
Uangel,A2807,56,1300,GF7042X2,40.00%,6,24.71,10.03,793,3.2,248,12913,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,50.00%,6,24.62,13.42,965,2.9,330,14327,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,60.00%,6,24.51,17.33,1155,2.7,425,15577,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,70.00%,6,24.44,22.12,1347,2.5,539,16867,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,80.00%,6,24.18,28.87,1636,2.3,698,18311,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,90.00%,6,23.96,36.35,1948,2.2,879,19269,5,7,28,7,7,4.2,38.48,4310.27,112
Uangel,A2807,56,1300,GF7042X2,100.00%,6,23.86,40.03,1836,1.9,955,19797,5,7,28,7,7,4.2,38.48,4310.27,112
Axisflying,AX2812,76,900,GF8040,10.00%,6,24.01,0.2,23,4.27,5,1954,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,20.00%,6,24,0.8,110,6.07,18,3973,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,30.00%,6,23.99,1.7,252,6.17,41,5757,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,40.00%,6,23.98,3.13,438,5.84,75,7336,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,50.00%,6,23.96,6.18,735,4.96,148,9260,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,60.00%,6,23.94,10.01,1054,4.4,240,11004,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,70.00%,6,23.91,14.51,1382,3.98,347,12492,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,80.00%,6,23.86,20.68,1755,3.56,493,13993,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,90.00%,6,23.82,27.48,2128,3.25,655,15208,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,GF8040,100.00%,6,23.77,35.09,2485,2.98,834,16318,7,10,28,12,8,4,50.27,7389.03,147
Axisflying,AX2812,76,900,HQ9045,10.00%,6,24.01,0.2,27,4.9,6,1926,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,20.00%,6,24.01,0.8,132,6.51,20,3882,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,30.00%,6,23.99,1.94,308,6.62,47,5572,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,40.00%,6,23.97,3.66,529,6.03,88,7109,7,10,28,12,9,4.5,63.62,7389.03,116.15
Axisflying,AX2812,76,900,HQ9045,50.00%,6,23.95,7.47,892,4.98,179,8994,7,10,28,12,9,4.5,63.62,7389.03,116.15
